routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-DB-FE-98,-78,14,32,0,0,209,Living,1595311022401
B8-27-EB-22-6B-12,-80,14,30,0,0,224,Living,1595311029280
B8-27-EB-6A-B8-0B,-82,4,14,0,0,228,Living,1595311031069
B8-27-EB-6A-B8-0B,-76,4,15,0,0,231,Living,1595311032793
B8-27-EB-22-6B-12,-81,4,30,0,0,219,Living,1595311026775
B8-27-EB-6A-B8-0B,-78,14,15,0,0,233,Living,1595311033467
B8-27-EB-7A-0F-BF,-82,14,81,0,0,239,Living,1595311036491
B8-27-EB-7A-0F-BF,-83,14,29,0,0,242,Living,1595311038081
B8-27-EB-7A-0F-BF,-88,14,42,0,0,248,Living,1595311040743
B8-27-EB-6A-B8-0B,-85,14,41,0,0,1,Living,1595311045460
B8-27-EB-6A-B8-0B,-85,14,38,0,0,4,Living,1595311046479
B8-27-EB-6A-B8-0B,-84,14,34,0,0,6,Living,1595311047855
B8-27-EB-6A-B8-0B,-84,14,7,0,0,10,Living,1595311049834
B8-27-EB-6A-B8-0B,-79,14,13,0,0,13,Living,1595311050878
B8-27-EB-6A-B8-0B,-80,4,35,0,0,15,Living,1595311051751
B8-27-EB-AD-32-FA,-84,14,37,0,0,16,Living,1595311052334
B8-27-EB-6A-B8-0B,-83,14,19,0,0,20,Living,1595311054385
B8-27-EB-7A-0F-BF,-83,14,23,0,0,23,Living,1595311055630
B8-27-EB-22-6B-12,-81,4,9,0,0,27,Living,1595311057521
B8-27-EB-7A-0F-BF,-97,14,6,0,0,28,Living,1595311057959
B8-27-EB-22-6B-12,-91,14,0,0,0,32,Living,1595311059910
B8-27-EB-22-6B-12,-95,14,32,0,0,37,Living,1595311062283
B8-27-EB-F2-6B-8A,-86,14,23,0,0,46,Living,1595311066626
B8-27-EB-DB-FE-98,-83,14,27,0,0,48,Living,1595311067819
B8-27-EB-F2-6B-8A,-89,4,26,0,0,53,Living,1595311069945
B8-27-EB-7A-0F-BF,-82,14,54,0,0,64,Living,1595311075372
B8-27-EB-7A-0F-BF,-104,14,40,0,0,78,Living,1595311081966
B8-27-EB-F2-6B-8A,-98,14,64,0,0,85,Living,1595311085301
B8-27-EB-22-6B-12,-92,4,135,0,0,92,Living,1595311088687
B8-27-EB-22-6B-12,-83,4,49,0,0,98,Living,1595311091691
B8-27-EB-22-6B-12,-90,14,51,0,0,100,Living,1595311092531
B8-27-EB-22-6B-12,-86,14,66,0,0,102,Living,1595311093488
B8-27-EB-22-6B-12,-81,14,33,0,0,106,Living,1595311095409
B8-27-EB-6A-B8-0B,-84,14,33,0,0,106,Living,1595311095403
B8-27-EB-22-6B-12,-82,14,64,0,0,109,Living,1595311096879
B8-27-EB-22-6B-12,-88,14,67,0,0,114,Living,1595311099252
B8-27-EB-AD-32-FA,-83,14,65,0,0,115,Living,1595311099909
B8-27-EB-22-6B-12,-61,14,77,0,0,118,Living,1595311101180
B8-27-EB-22-6B-12,-84,4,55,0,0,116,Living,1595311100205
B8-27-EB-F2-6B-8A,-88,14,86,0,0,108,Living,1595311096389
B8-27-EB-6A-B8-0B,-86,14,77,0,0,118,Living,1595311101228
B8-27-EB-22-6B-12,-78,14,77,0,0,118,Living,1595311101649
B8-27-EB-6A-B8-0B,-82,14,96,0,0,120,Living,1595311102398
B8-27-EB-22-6B-12,-79,14,86,0,0,121,Living,1595311102929
B8-27-EB-6A-B8-0B,-82,4,64,0,0,122,Living,1595311103065
B8-27-EB-22-6B-12,-78,14,33,0,0,123,Living,1595311103910
B8-27-EB-22-6B-12,-76,14,12,0,0,126,Living,1595311105271
B8-27-EB-22-6B-12,-83,4,7,0,0,128,Living,1595311105965
B8-27-EB-6A-B8-0B,-88,14,20,0,0,129,Living,1595311106606
B8-27-EB-22-6B-12,-78,14,38,0,0,132,Living,1595311107903
B8-27-EB-AD-32-FA,-81,14,38,0,0,132,Living,1595311107914
B8-27-EB-22-6B-12,-81,14,38,0,0,132,Living,1595311108372
B8-27-EB-AD-32-FA,-80,4,28,0,0,134,Living,1595311108926
B8-27-EB-22-6B-12,-82,14,20,0,0,135,Living,1595311109433
B8-27-EB-22-6B-12,-77,4,25,0,0,137,Living,1595311110432
B8-27-EB-F2-6B-8A,-96,14,41,0,0,139,Living,1595311111704
B8-27-EB-22-6B-12,-84,14,25,0,0,142,Living,1595311112686
B8-27-EB-22-6B-12,-79,14,36,0,0,144,Living,1595311113713
B8-27-EB-22-6B-12,-78,4,27,0,0,146,Living,1595311114616
B8-27-EB-AD-32-FA,-80,4,27,0,0,146,Living,1595311114954
B8-27-EB-AD-32-FA,-95,4,44,0,0,149,Living,1595311116045
B8-27-EB-22-6B-12,-77,4,27,0,0,146,Living,1595311116405
B8-27-EB-AD-32-FA,-92,14,46,0,0,150,Living,1595311116532
B8-27-EB-22-6B-12,-78,14,54,0,0,151,Living,1595311117433
B8-27-EB-22-6B-12,-80,14,58,0,0,153,Living,1595311117992
B8-27-EB-6A-B8-0B,-86,4,57,0,0,152,Living,1595311117467
B8-27-EB-6A-B8-0B,-84,14,49,0,0,157,Living,1595311119899
B8-27-EB-22-6B-12,-72,4,17,0,0,158,Living,1595311120393
B8-27-EB-AD-32-FA,-79,4,17,0,0,158,Living,1595311120433
B8-27-EB-22-6B-12,-85,4,17,0,0,158,Living,1595311120927
B8-27-EB-22-6B-12,-76,4,44,0,0,161,Living,1595311121812
B8-27-EB-22-6B-12,-92,14,60,0,0,165,Living,1595311123729
B8-27-EB-F2-6B-8A,-85,14,59,0,0,177,Living,1595311129734
B8-27-EB-22-6B-12,-78,14,48,0,0,171,Living,1595311130440
B8-27-EB-6A-B8-0B,-104,4,41,0,0,179,Living,1595311131166
B8-27-EB-F2-6B-8A,-80,14,49,0,0,181,Living,1595311131865
B8-27-EB-6A-B8-0B,-84,14,49,0,0,181,Living,1595311132645
B8-27-EB-F2-6B-8A,-97,14,49,0,0,181,Living,1595311132822
B8-27-EB-F2-6B-8A,-81,14,53,0,0,186,Living,1595311133843
B8-27-EB-6A-B8-0B,-88,14,53,0,0,186,Living,1595311134093
B8-27-EB-6A-B8-0B,-92,14,53,0,0,186,Living,1595311134518
B8-27-EB-F2-6B-8A,-82,4,40,0,0,188,Living,1595311134844
B8-27-EB-6A-B8-0B,-84,14,40,0,0,189,Living,1595311135215
B8-27-EB-6A-B8-0B,-66,14,47,0,0,190,Living,1595311135828
B8-27-EB-F2-6B-8A,-77,14,13,0,0,196,Living,1595311138917
B8-27-EB-F2-6B-8A,-85,14,27,0,0,198,Living,1595311140021
B8-27-EB-6A-B8-0B,-85,4,9,0,0,200,Living,1595311140752
B8-27-EB-F2-6B-8A,-78,14,14,0,0,202,Living,1595311141533
B8-27-EB-6A-B8-0B,-80,14,49,0,0,205,Living,1595311142903
B8-27-EB-6A-B8-0B,-90,14,49,0,0,205,Living,1595311143387
B8-27-EB-F2-6B-8A,-80,4,40,0,0,206,Living,1595311143422
B8-27-EB-F2-6B-8A,-86,14,44,0,0,207,Living,1595311144344
B8-27-EB-F2-6B-8A,-69,14,28,0,0,211,Living,1595311145879
B8-27-EB-F2-6B-8A,-79,4,20,0,0,215,Living,1595311147789
B8-27-EB-F2-6B-8A,-82,14,30,0,0,217,Living,1595311148714
B8-27-EB-6A-B8-0B,-82,14,30,0,0,217,Living,1595311148884
B8-27-EB-F2-6B-8A,-67,14,22,0,0,220,Living,1595311150369
B8-27-EB-F2-6B-8A,-83,14,25,0,0,222,Living,1595311151093
B8-27-EB-6A-B8-0B,-79,14,25,0,0,222,Living,1595311151411
B8-27-EB-F2-6B-8A,-73,4,30,0,0,224,Living,1595311152193
